row_index,Груз,Год,Вид сообщения,Направление,"Погрузка, млн. т","Погрузка базовая, млн. т","Грузооборот, млрд. ткм","Грузооборот базовый, млрд. ткм",Средняя дальность,Грузооборот 2019,Индекс грузооборота,Индекс перевезено
10,Уголь каменный,2020,внутрироссийское,в целом,153.6,153.6,157.8,157.8,1021.0,179.1,0.88089425,0.993743171058906
11,Кокс каменноугольный,2020,внутрироссийское,в целом,7.4,7.4,20.4,20.4,2746.0,18.5,1.104408489,0.9970007651150592
12,Нефть и нефтепродукты,2020,внутрироссийское,в целом,117.8,117.8,185.0,185.0,1516.0,211.1,0.876353292,0.9649881019077085
13,Руды металлические,2020,внутрироссийское,в целом,110.8,110.8,109.6,109.6,984.0,115.9,0.945582561,0.994850318174006
14,Черные металлы,2020,внутрироссийское,в целом,38.0,38.0,62.6,62.6,1242.0,65.9,0.951023407,0.7536912461767045
15,Лесные грузы,2020,внутрироссийское,в целом,20.7,20.7,18.1,18.1,858.0,17.0,1.067165018,0.9796837354096231
16,Минерально-строительные материалы,2020,внутрироссийское,в целом,192.9,192.9,192.7,192.7,892.0,186.9,1.031270504,0.8931326469394381
17,Химические и минеральные удобрения,2020,внутрироссийское,в целом,26.4,26.4,48.8,48.8,1828.0,45.8,1.064756146,0.9901455873698952
18,Зерно и продукты перемола,2020,внутрироссийское,в целом,13.1,13.1,25.4,25.4,1918.0,27.3,0.931570599,0.9865389979207873
19,Прочие,2020,внутрироссийское,в целом,88.9,88.9,147.8,147.8,2064.0,149.5,0.988143848,1.2420915313237195
20,Уголь каменный,2021,внутрироссийское,в целом,156.6,156.6,167.5,167.5,1067.0,179.1,0.935368636,0.9970391338410196
21,Кокс каменноугольный,2021,внутрироссийское,в целом,7.9,7.9,21.4,21.4,2715.0,18.5,1.157490587,1.0045468602340664
22,Нефть и нефтепродукты,2021,внутрироссийское,в целом,126.1,126.1,197.6,197.6,1532.0,211.1,0.936115165,0.976991310555802
23,Руды металлические,2021,внутрироссийское,в целом,112.1,112.1,107.3,107.3,954.0,115.9,0.925165043,0.9969517689392305
24,Черные металлы,2021,внутрироссийское,в целом,39.6,39.6,63.1,63.1,1243.0,65.9,0.957717063,0.7808571290667974
25,Лесные грузы,2021,внутрироссийское,в целом,22.4,22.4,19.3,19.3,848.0,17.0,1.140488286,0.9840248245412352
26,Минерально-строительные материалы,2021,внутрироссийское,в целом,191.4,191.4,192.2,192.2,913.0,186.9,1.028832118,0.9091624599584615
27,Химические и минеральные удобрения,2021,внутрироссийское,в целом,26.3,26.3,49.5,49.5,1867.0,45.8,1.079000425,0.9929977493237517
28,Зерно и продукты перемола,2021,внутрироссийское,в целом,13.0,13.0,27.3,27.3,2066.0,27.3,0.998836083,0.9877573232920404
29,Прочие,2021,внутрироссийское,в целом,97.3,97.3,161.6,161.6,2116.0,149.5,1.080936618,1.273657768039865
30,Уголь каменный,2022,внутрироссийское,в целом,157.3,157.3,175.5,175.5,1111.0,179.1,0.980012243,0.9958807354761595
31,Кокс каменноугольный,2022,внутрироссийское,в целом,7.4,7.4,20.1,20.1,2695.0,18.5,1.087930738,0.9928889075966846
32,Нефть и нефтепродукты,2022,внутрироссийское,в целом,129.0,129.0,213.2,213.2,1612.0,211.1,1.009970995,0.9751724969999808
33,Руды металлические,2022,внутрироссийское,в целом,114.8,114.8,117.1,117.1,1015.0,115.9,1.009993996,0.9956669687894449
34,Черные металлы,2022,внутрироссийское,в целом,42.4,42.4,74.9,74.9,1398.0,65.9,1.13767361,0.7913844576874425
35,Лесные грузы,2022,внутрироссийское,в целом,21.5,21.5,19.7,19.7,891.0,17.0,1.163021225,0.9699850555343499
36,Минерально-строительные материалы,2022,внутрироссийское,в целом,193.0,193.0,215.4,215.4,1018.0,186.9,1.152907281,0.9119022101395703
37,Химические и минеральные удобрения,2022,внутрироссийское,в целом,30.8,30.8,56.8,56.8,1813.0,45.8,1.240128206,0.9819191018094103
38,Зерно и продукты перемола,2022,внутрироссийское,в целом,12.1,12.1,27.5,27.5,2216.0,27.3,1.009300683,0.9754100807228571
39,Прочие,2022,внутрироссийское,в целом,96.7,96.7,164.6,164.6,2234.0,149.5,1.100725561,1.3125671692988687
40,Уголь каменный,2023,внутрироссийское,в целом,157.9,157.9,179.1,179.1,1134.0,179.1,1.000025782,0.9999240317150832
41,Кокс каменноугольный,2023,внутрироссийское,в целом,7.7,7.7,21.1,21.1,2744.0,18.5,1.143481837,1.0
42,Нефть и нефтепродукты,2023,внутрироссийское,в целом,130.0,130.0,216.6,216.6,1650.0,211.1,1.026078462,0.9899388409483842
43,Руды металлические,2023,внутрироссийское,в целом,112.9,112.9,115.7,115.7,1020.0,115.9,0.997781036,0.9959092539784274
44,Черные металлы,2023,внутрироссийское,в целом,39.4,39.4,73.7,73.7,1410.0,65.9,1.118629686,0.7547858770934325
45,Лесные грузы,2023,внутрироссийское,в целом,23.6,23.6,21.7,21.7,900.0,17.0,1.279043512,0.9807088430609642
46,Минерально-строительные материалы,2023,внутрироссийское,в целом,195.0,195.0,216.4,216.4,1000.0,186.9,1.158312529,0.9009354482061451
47,Химические и минеральные удобрения,2023,внутрироссийское,в целом,30.4,30.4,58.5,58.5,1900.0,45.8,1.276568017,0.9882638676003161
48,Зерно и продукты перемола,2023,внутрироссийское,в целом,12.7,12.7,27.1,27.1,2100.0,27.3,0.992242328,0.9831474436417408
49,Прочие,2023,внутрироссийское,в целом,96.9,96.9,174.4,174.4,2240.0,149.5,1.166021112,1.2453120018462476
50,Уголь каменный,2024,внутрироссийское,в целом,156.5,156.5,177.5,177.5,1134.0,179.1,0.990930396,0.9998594446787034
51,Кокс каменноугольный,2024,внутрироссийское,в целом,7.7,7.7,21.1,21.1,2744.0,18.5,1.143481837,1.0000000000000002
52,Нефть и нефтепродукты,2024,внутрироссийское,в целом,130.7,130.7,217.9,217.9,1650.0,211.1,1.032241325,0.9895098330173765
53,Руды металлические,2024,внутрироссийское,в целом,114.3,114.3,117.1,117.1,1020.0,115.9,1.009937918,0.9957842519726199
54,Черные металлы,2024,внутрироссийское,в целом,39.5,39.5,74.2,74.2,1415.0,65.9,1.127071573,0.7529402794456835
55,Лесные грузы,2024,внутрироссийское,в целом,23.8,23.8,22.1,22.1,910.0,17.0,1.303272802,0.9797867522950887
56,Минерально-строительные материалы,2024,внутрироссийское,в целом,196.0,196.0,216.4,216.4,995.0,186.9,1.158271814,0.9010595243932273
57,Химические и минеральные удобрения,2024,внутрироссийское,в целом,31.3,31.3,60.2,60.2,1900.0,45.8,1.312950227,0.9873261049401035
58,Зерно и продукты перемола,2024,внутрироссийское,в целом,13.5,13.5,28.8,28.8,2100.0,27.3,1.056352443,0.9834417547514807
59,Прочие,2024,внутрироссийское,в целом,97.7,97.7,175.3,175.3,2250.0,149.5,1.172201882,1.2540738145023302
60,Уголь каменный,2025,внутрироссийское,в целом,156.5,156.5,177.6,177.6,1134.0,179.1,0.991246943,0.9995401476636946
61,Кокс каменноугольный,2025,внутрироссийское,в целом,7.7,7.7,21.1,21.1,2744.0,18.5,1.143481837,1.0000000000000002
62,Нефть и нефтепродукты,2025,внутрироссийское,в целом,133.6,133.6,223.3,223.3,1650.0,211.1,1.05754689,0.9872623938009378
63,Руды металлические,2025,внутрироссийское,в целом,116.0,116.0,118.8,118.8,1020.0,115.9,1.025071515,0.9956748229029243
64,Черные металлы,2025,внутрироссийское,в целом,39.8,39.8,75.1,75.1,1420.0,65.9,1.140801391,0.7521766821448752
65,Лесные грузы,2025,внутрироссийское,в целом,24.4,24.4,22.9,22.9,920.0,17.0,1.351550027,0.9792511136974756
66,Минерально-строительные материалы,2025,внутрироссийское,в целом,202.0,202.0,220.3,220.3,985.0,186.9,1.178733353,0.9033516562033466
67,Химические и минеральные удобрения,2025,внутрироссийское,в целом,32.1,32.1,61.8,61.8,1900.0,45.8,1.348187309,0.9861199087370163
68,Зерно и продукты перемола,2025,внутрироссийское,в целом,14.0,14.0,29.9,29.9,2100.0,27.3,1.095598307,0.9833325138895717
69,Прочие,2025,внутрироссийское,в целом,99.2,99.2,176.5,176.5,2255.0,149.5,1.180292802,1.267409307013015
70,Уголь каменный,2026,внутрироссийское,в целом,156.5,156.5,177.9,177.9,1136.0,179.1,0.9932998324958124,0.9999680549089603
71,Кокс каменноугольный,2026,внутрироссийское,в целом,7.8,7.8,21.4,21.4,2744.0,18.5,1.160411309,0.9998720245712823
72,Нефть и нефтепродукты,2026,внутрироссийское,в целом,136.0,136.0,226.7,226.7,1650.0,211.1,1.073513598,0.9900863964218427
73,Руды металлические,2026,внутрироссийское,в целом,123.3,123.3,125.7,125.7,1014.0,115.9,1.084120903,0.9949656610488947
74,Черные металлы,2026,внутрироссийское,в целом,47.9,47.9,86.9,86.9,1434.0,65.9,1.31972581,0.7894302788329768
75,Лесные грузы,2026,внутрироссийское,в целом,25.0,25.0,23.6,23.6,925.0,17.0,1.390908555,0.9787092220828104
76,Минерально-строительные материалы,2026,внутрироссийское,в целом,212.2,212.2,231.0,231.0,987.0,186.9,1.236451628,0.9060405674573986
77,Химические и минеральные удобрения,2026,внутрироссийское,в целом,34.9,34.9,67.1,67.1,1889.0,45.8,1.464988654,0.9830788847590161
78,Зерно и продукты перемола,2026,внутрироссийское,в целом,14.4,14.4,30.9,30.9,2105.0,27.3,1.131375328,0.9831393485150789
79,Прочие,2026,внутрироссийское,в целом,100.9,100.9,179.5,179.5,2260.0,149.5,1.200528842,1.2700334987921045
80,Уголь каменный,2027,внутрироссийское,в целом,156.5,156.5,178.2,178.2,1138.0,179.1,0.994754598,0.9999616627298912
81,Кокс каменноугольный,2027,внутрироссийское,в целом,7.9,7.9,21.8,21.8,2744.0,18.5,1.177489284,0.9998738806911338
82,Нефть и нефтепродукты,2027,внутрироссийское,в целом,138.3,138.3,232.2,232.2,1650.0,211.1,1.099905439,0.9829484617095305
83,Руды металлические,2027,внутрироссийское,в целом,125.0,125.0,126.8,126.8,1009.0,115.9,1.093704522,0.9948752004664365
84,Черные металлы,2027,внутрироссийское,в целом,48.4,48.4,88.0,88.0,1437.0,65.9,1.335600231,0.7906467014725063
85,Лесные грузы,2027,внутрироссийское,в целом,25.5,25.5,24.2,24.2,930.0,17.0,1.4285844,0.978160743072081
86,Минерально-строительные материалы,2027,внутрироссийское,в целом,218.2,218.2,237.8,237.8,990.0,186.9,1.272646133,0.9080606947794044
87,Химические и минеральные удобрения,2027,внутрироссийское,в целом,35.7,35.7,68.4,68.4,1884.0,45.8,1.492848334,0.982061722921394
88,Зерно и продукты перемола,2027,внутрироссийское,в целом,14.8,14.8,31.8,31.8,2110.0,27.3,1.164912989,0.9829221507603061
89,Прочие,2027,внутрироссийское,в целом,102.8,102.8,180.7,180.7,2265.0,149.5,1.208180248,1.2888153363984844
90,Уголь каменный,2028,внутрироссийское,в целом,156.5,156.5,178.5,178.5,1140.0,179.1,0.996508457,0.9999552762446902
91,Кокс каменноугольный,2028,внутрироссийское,в целом,8.0,8.0,22.1,22.1,2744.0,18.5,1.194864268,0.9998757146408154
92,Нефть и нефтепродукты,2028,внутрироссийское,в целом,140.6,140.6,236.5,236.5,1650.0,211.1,1.120279775,0.9809000286011261
93,Руды металлические,2028,внутрироссийское,в целом,126.7,126.7,127.9,127.9,1004.0,115.9,1.103044929,0.9947867229601681
94,Черные металлы,2028,внутрироссийское,в целом,48.9,48.9,89.0,89.0,1440.0,65.9,1.351332675,0.7918091565568143
95,Лесные грузы,2028,внутрироссийское,в целом,26.0,26.0,24.8,24.8,935.0,17.0,1.464379459,0.9776012648697485
96,Минерально-строительные материалы,2028,внутрироссийское,в целом,224.2,224.2,244.6,244.6,993.0,186.9,1.308830089,0.90996616180409
97,Химические и минеральные удобрения,2028,внутрироссийское,в целом,36.3,36.3,69.6,69.6,1879.0,45.8,1.518448543,0.9810608506010298
98,Зерно и продукты перемола,2028,внутрироссийское,в целом,15.2,15.2,32.7,32.7,2115.0,27.3,1.197124352,0.9826948698189487
99,Прочие,2028,внутрироссийское,в целом,105.0,105.0,184.0,184.0,2270.0,149.5,1.230153346,1.2952307147449387
100,Уголь каменный,2029,внутрироссийское,в целом,156.5,156.5,178.8,178.8,1142.0,179.1,0.998262343,0.9999488842391356
101,Кокс каменноугольный,2029,внутрироссийское,в целом,8.2,8.2,22.4,22.4,2744.0,18.5,1.212387756,0.9998775110240079
102,Нефть и нефтепродукты,2029,внутрироссийское,в целом,142.8,142.8,240.7,240.7,1650.0,211.1,1.14006799,0.9789139386262015
103,Руды металлические,2029,внутрироссийское,в целом,128.4,128.4,128.9,128.9,999.0,115.9,1.112126303,0.994700050939701
104,Черные металлы,2029,внутрироссийское,в целом,49.5,49.5,90.0,90.0,1443.0,65.9,1.366921883,0.7929197010076444
105,Лесные грузы,2029,внутрироссийское,в целом,26.4,26.4,25.4,25.4,940.0,17.0,1.499533046,0.9770484532653289
106,Минерально-строительные материалы,2029,внутрироссийское,в целом,230.1,230.1,251.3,251.3,996.0,186.9,1.344927028,0.9117612444920755
107,Химические и минеральные удобрения,2029,внутрироссийское,в целом,36.9,36.9,70.7,70.7,1874.0,45.8,1.541642375,0.9800691753923836
108,Зерно и продукты перемола,2029,внутрироссийское,в целом,15.5,15.5,33.5,33.5,2120.0,27.3,1.22784353,0.9824552523520593
109,Прочие,2029,внутрироссийское,в целом,107.3,107.3,187.6,187.6,2275.0,149.5,1.254493527,1.3008994727578647
110,Уголь каменный,2030,внутрироссийское,в целом,156.5,156.5,179.1,179.1,1144.0,179.1,1.000016246,0.9999424979076528
111,Кокс каменноугольный,2030,внутрироссийское,в целом,8.3,8.3,22.7,22.7,2744.0,18.5,1.230208252,0.9998792853693869
112,Нефть и нефтепродукты,2030,внутрироссийское,в целом,144.9,144.9,244.8,244.8,1650.0,211.1,1.15923101,0.9769832109977942
113,Руды металлические,2030,внутрироссийское,в целом,130.0,130.0,129.9,129.9,994.0,115.9,1.120941761,0.994615038710637
114,Черные металлы,2030,внутрироссийское,в целом,50.0,50.0,91.0,91.0,1446.0,65.9,1.3823447,0.7939769654997896
115,Лесные грузы,2030,внутрироссийское,в целом,26.9,26.9,26.0,26.0,945.0,17.0,1.533974412,0.9765000726427431
116,Минерально-строительные материалы,2030,внутрироссийское,в целом,236.0,236.0,258.0,258.0,999.0,186.9,1.380870253,0.9134507652642628
117,Химические и минеральные удобрения,2030,внутрироссийское,в целом,37.5,37.5,71.7,71.7,1869.0,45.8,1.563712112,0.9790988514543496
118,Зерно и продукты перемола,2030,внутрироссийское,в целом,15.9,15.9,34.3,34.3,2125.0,27.3,1.256903314,0.9822009236488944
119,Прочие,2030,внутрироссийское,в целом,109.7,109.7,191.5,191.5,2280.0,149.5,1.280361995,1.3060331122752156
120,Уголь каменный,2031,внутрироссийское,в целом,156.5,156.5,179.4,179.4,1146.0,179.1,1.001770177,0.9999361060755342
121,Кокс каменноугольный,2031,внутрироссийское,в целом,8.4,8.4,23.1,23.1,2744.0,18.5,1.248325757,0.9998810373542706
122,Нефть и нефтепродукты,2031,внутрироссийское,в целом,147.0,147.0,248.7,248.7,1650.0,211.1,1.177729759,0.9751012426485859
123,Руды металлические,2031,внутрироссийское,в целом,131.7,131.7,130.9,130.9,989.0,115.9,1.129484574,0.9945315614719599
124,Черные металлы,2031,внутрироссийское,в целом,50.5,50.5,91.9,91.9,1446.0,65.9,1.394683844,0.7949796735234484
125,Лесные грузы,2031,внутрироссийское,в целом,27.3,27.3,26.5,26.5,947.0,17.0,1.56268121,0.9759539802772617
126,Минерально-строительные материалы,2031,внутрироссийское,в целом,241.8,241.8,264.4,264.4,1001.0,186.9,1.415167385,0.9150386161017179
127,Химические и минеральные удобрения,2031,внутрироссийское,в целом,38.1,38.1,72.6,72.6,1864.0,45.8,1.584624916,0.9781464802745842
128,Зерно и продукты перемола,2031,внутрироссийское,в целом,16.2,16.2,35.0,35.0,2130.0,27.3,1.284134887,0.981929578235262
129,Прочие,2031,внутрироссийское,в целом,112.2,112.2,195.6,195.6,2285.0,149.5,1.307829314,1.3106286193529093
130,Уголь каменный,2032,внутрироссийское,в целом,156.5,156.5,179.8,179.8,1148.0,179.1,1.003524125,0.9999297198978295
131,Кокс каменноугольный,2032,внутрироссийское,в целом,8.5,8.5,23.4,23.4,2744.0,18.5,1.266740269,0.9998827667057443
132,Нефть и нефтепродукты,2032,внутрироссийское,в целом,148.9,148.9,252.5,252.5,1650.0,211.1,1.195759612,0.9732670018966155
133,Руды металлические,2032,внутрироссийское,в целом,133.3,133.3,131.9,131.9,984.0,115.9,1.137748187,0.9944494992851473
134,Черные металлы,2032,внутрироссийское,в целом,51.0,51.0,92.7,92.7,1446.0,65.9,1.406781531,0.7959297641234079
135,Лесные грузы,2032,внутрироссийское,в целом,27.7,27.7,27.0,27.0,949.0,17.0,1.590376511,0.9754081058260625
136,Минерально-строительные материалы,2032,внутрироссийское,в целом,247.5,247.5,270.8,270.8,1003.0,186.9,1.449091526,0.9165285137861038
137,Химические и минеральные удобрения,2032,внутрироссийское,в целом,38.6,38.6,73.5,73.5,1859.0,45.8,1.60430787,0.9772082452886597
138,Зерно и продукты перемола,2032,внутрироссийское,в целом,16.4,16.4,35.8,35.8,2135.0,27.3,1.310698107,0.9816573313976156
139,Прочие,2032,внутрироссийское,в целом,114.8,114.8,199.9,199.9,2290.0,149.5,1.336951243,1.3146895599832769
140,Уголь каменный,2033,внутрироссийское,в целом,156.5,156.5,180.1,180.1,1150.0,179.1,1.0052781,0.9999233282390692
141,Кокс каменноугольный,2033,внутрироссийское,в целом,8.7,8.7,23.7,23.7,2744.0,18.5,1.285303286,0.9998844598497979
142,Нефть и нефтепродукты,2033,внутрироссийское,в целом,150.8,150.8,256.2,256.2,1650.0,211.1,1.213297124,0.9714756833179283
143,Руды металлические,2033,внутрироссийское,в целом,134.9,134.9,132.8,132.8,979.0,115.9,1.145726243,0.9943687142919575
144,Черные металлы,2033,внутрироссийское,в целом,51.5,51.5,93.4,93.4,1446.0,65.9,1.41861798,0.7968247066751455
145,Лесные грузы,2033,внутрироссийское,в целом,28.1,28.1,27.4,27.4,951.0,17.0,1.6169411,0.9748595603023787
146,Минерально-строительные материалы,2033,внутрироссийское,в целом,253.1,253.1,277.0,277.0,1005.0,186.9,1.482564413,0.9179239758203986
147,Химические и минеральные удобрения,2033,внутрироссийское,в целом,39.2,39.2,74.4,74.4,1854.0,45.8,1.623295703,0.9762893292840515
148,Зерно и продукты перемола,2033,внутрироссийское,в целом,16.7,16.7,36.5,36.5,2140.0,27.3,1.336508987,0.9813827134416455
149,Прочие,2033,внутрироссийское,в целом,117.5,117.5,204.5,204.5,2295.0,149.5,1.367828472,1.3182130306579956
150,Уголь каменный,2034,внутрироссийское,в целом,156.5,156.5,180.4,180.4,1152.0,179.1,1.007032093,0.9999169422152011
151,Кокс каменноугольный,2034,внутрироссийское,в целом,8.8,8.8,24.1,24.1,2744.0,18.5,1.304163311,0.9998861307219313
152,Нефть и нефтепродукты,2034,внутрироссийское,в целом,152.7,152.7,259.8,259.8,1650.0,211.1,1.23031885,0.9697227240274506
153,Руды металлические,2034,внутрироссийское,в целом,136.5,136.5,133.7,133.7,974.0,115.9,1.153404119,0.9942890606786474
154,Черные металлы,2034,внутрироссийское,в целом,52.0,52.0,94.2,94.2,1446.0,65.9,1.430186615,0.797670027521353
155,Лесные грузы,2034,внутрироссийское,в целом,28.5,28.5,27.9,27.9,953.0,17.0,1.642311008,0.9743063395942386
156,Минерально-строительные материалы,2034,внутрироссийское,в целом,258.6,258.6,283.2,283.2,1007.0,186.9,1.515512575,0.9192285906495422
157,Химические и минеральные удобрения,2034,внутрироссийское,в целом,39.7,39.7,75.2,75.2,1849.0,45.8,1.641593,0.9753879632568947
158,Зерно и продукты перемола,2034,внутрироссийское,в целом,17.0,17.0,37.2,37.2,2145.0,27.3,1.361482951,0.981104176436202
159,Прочие,2034,внутрироссийское,в целом,120.3,120.3,209.4,209.4,2300.0,149.5,1.400537857,1.3212004203909373
160,Уголь каменный,2035,внутрироссийское,в целом,156.5,156.5,180.7,180.7,1154.0,179.1,1.008786113,0.9999105507297215
161,Кокс каменноугольный,2035,внутрироссийское,в целом,8.9,8.9,24.5,24.5,2744.0,18.5,1.323320345,0.9998877791493658
162,Нефть и нефтепродукты,2035,внутрироссийское,в целом,154.4,154.4,263.2,263.2,1650.0,211.1,1.246801344,0.9680037758390179
163,Руды металлические,2035,внутрироссийское,в целом,138.1,138.1,134.6,134.6,969.0,115.9,1.160784283,0.9942104590730665
164,Черные металлы,2035,внутрироссийское,в целом,52.4,52.4,94.9,94.9,1446.0,65.9,1.441472071,0.7984606749261904
165,Лесные грузы,2035,внутрироссийское,в целом,28.8,28.8,28.3,28.3,955.0,17.0,1.666478097,0.9737473392573571
166,Минерально-строительные материалы,2035,внутрироссийское,в целом,263.9,263.9,289.2,289.2,1009.0,186.9,1.547856587,0.9204454024218603
167,Химические и минеральные удобрения,2035,внутрироссийское,в целом,40.2,40.2,76.0,76.0,1844.0,45.8,1.659123895,0.9745012575401404
168,Зерно и продукты перемола,2035,внутрироссийское,в целом,17.2,17.2,37.8,37.8,2150.0,27.3,1.385534546,0.9808202976180322
169,Прочие,2035,внутрироссийское,в целом,123.2,123.2,214.6,214.6,2305.0,149.5,1.435147588,1.3236647700400401
180,Уголь каменный,2020,экспорт,в целом,199.6,199.6,912.3,912.3,4552.0,939.8,0.9707384549904234,0.9617844179326585
181,Кокс каменноугольный,2020,экспорт,в целом,3.8,3.8,6.4,6.4,1701.0,7.3,0.881293547,1.2771272234345286
182,Нефть и нефтепродукты,2020,экспорт,в целом,91.0,91.0,158.0,158.0,1728.0,168.9,0.935175136,1.0873602417124943
183,Руды металлические,2020,экспорт,в целом,28.8,28.8,28.1,28.1,950.0,21.5,1.302449031,0.4853779832848242
184,Черные металлы,2020,экспорт,в целом,28.4,28.4,77.7,77.7,2515.0,71.2,1.091236633,0.5089123981201461
185,Лесные грузы,2020,экспорт,в целом,20.0,20.0,54.9,54.9,2006.0,57.4,0.954845485,0.5490995431589603
186,Минерально-строительные материалы,2020,экспорт,в целом,4.7,4.7,6.5,6.5,1324.0,6.4,1.016241316,0.7853900589397237
187,Химические и минеральные удобрения,2020,экспорт,в целом,36.3,36.3,58.0,58.0,1565.0,51.8,1.120331213,0.8595764227207244
188,Зерно и продукты перемола,2020,экспорт,в целом,17.2,17.2,24.3,24.3,1418.0,17.5,1.391087301,0.8935986168793042
189,Прочие,2020,экспорт,в целом,44.0,44.0,75.3,75.3,2245.0,66.7,1.128146283,1.0219398493628717
190,Уголь каменный,2021,экспорт,в целом,215.1,215.1,939.8,939.8,4395.0,939.8,0.999928216,1.0121894147886557
191,Кокс каменноугольный,2021,экспорт,в целом,4.1,4.1,6.8,6.8,1655.0,7.3,0.929452243,1.3349111636819218
192,Нефть и нефтепродукты,2021,экспорт,в целом,91.4,91.4,144.9,144.9,1589.0,168.9,0.857517259,1.1577536144263307
193,Руды металлические,2021,экспорт,в целом,27.5,27.5,23.2,23.2,826.0,21.5,1.078682086,0.7900844373353247
194,Черные металлы,2021,экспорт,в целом,29.6,29.6,76.9,76.9,2358.0,71.2,1.080726907,0.5097535070011363
195,Лесные грузы,2021,экспорт,в целом,19.3,19.3,57.6,57.6,2114.0,57.4,1.002010184,0.5014289374542172
196,Минерально-строительные материалы,2021,экспорт,в целом,4.9,4.9,7.4,7.4,1425.0,6.4,1.158668731,0.8879065291947977
197,Химические и минеральные удобрения,2021,экспорт,в целом,38.7,38.7,60.3,60.3,1519.0,51.8,1.165034339,0.8589768928219055
198,Зерно и продукты перемола,2021,экспорт,в целом,14.6,14.6,20.4,20.4,1333.0,17.5,1.168714527,1.0253077810639162
199,Прочие,2021,экспорт,в целом,44.7,44.7,72.8,72.8,2333.0,66.7,1.091461554,1.131423635709948
200,Уголь каменный,2022,экспорт,в целом,197.1,197.1,857.9,857.9,4355.0,939.8,0.912837283,1.0163735501865054
201,Кокс каменноугольный,2022,экспорт,в целом,2.7,2.7,5.4,5.4,1981.0,7.3,0.748709056,0.9295358519205886
202,Нефть и нефтепродукты,2022,экспорт,в целом,86.9,86.9,146.1,146.1,1673.0,168.9,0.864957906,1.0804261672637778
203,Руды металлические,2022,экспорт,в целом,18.3,18.3,21.2,21.2,1121.0,21.5,0.982661151,0.8204659645715099
204,Черные металлы,2022,экспорт,в целом,23.9,23.9,67.3,67.3,2530.0,71.2,0.945656287,0.5172266855065714
205,Лесные грузы,2022,экспорт,в целом,9.9,9.9,48.5,48.5,2781.0,57.4,0.845091495,0.3596353186962726
206,Минерально-строительные материалы,2022,экспорт,в целом,4.3,4.3,6.6,6.6,1411.0,6.4,1.040003772,0.8023515347938255
207,Химические и минеральные удобрения,2022,экспорт,в целом,29.7,29.7,46.6,46.6,1496.0,51.8,0.899001506,0.8469835982158055
